Official:
お巡りさん	おまわりさん	policeman
仮令	たとえ	even if, if, though, although, supposing, supposing that
住居	すまい	dwelling, house, residence, address
何卒	なにとぞ	please, kindly, I beg of you, if it pleases you
余所	よそ	another place, somewhere else, strange parts
入梅	つゆいり	entering the rainy season, beginning of the rainy season
処女	おとめ、おぼこ	virgin
区々	まちまち	several, various, divergent, conflicting, different, diverse
十八番	おはこ	one's speciality
十六夜	いざよい	16-day-old moon
可惜（身命）	あたら（しんみょう）	valuing one's body and life
可笑しい	おかし（い）	strange or funny
台詞	せりふ	lines (words)
唯一	ゆいつ	only, sole, unique
団扇	うちわ	fan
土筆	つくし	horsetail, scouring rush (plant)
大刀	たち	long sword
大文字	おおもじ	upper case letters, large characters, capital letter
大蛇	おろち	giant snake-like creature in Japanese mythology
女将	おかみ	mistress
女形	おやま	male actors playing female Kabuki and Noh roles
女郎花	おみなえし	golden lace, yellow patrinia (plant)
如何	いかん	how, in what way
如月	きさらぎ	second month of the lunar calendar
小文字	こもじ	lower case letters
小火	ぼや	small fire
居心地	いごこち	comfort
布地	きれじ	cloth, fabric
強者	つわもの	soldier, warrior
強請る	ねだ（る）	to tease, to coax
従兄弟	いとこ	cousin
微笑む	ほほえ（む）	to smile
心天	ところてん	gelidium jelly strips
心太	ところてん	gelidium jelly strips
悪戯	いたずら	mischief, prank, trick, practical joke
文字	もじ	letter (of alphabet), character
文字通り	もじどおり	literal
日向	ひなた	sunny place, in the sun
明後日	あさって	the day after tomorrow
明明後日	しあさって	2 days after tomorrow
昨夜	ゆうべ	last night
最早	もはや	already, now
松明	たいまつ	torch
柳葉魚	ししゃも	shishamo (name of fish)
桜桃	さくらんぼ	edible cherry
横文字	よこもじ	European writing, cross-wise writing
欠伸	あくび	yawning
気質	かたぎ	spirit, character, trait, temperament
水母	くらげ	jellyfish
流石	さすが	as one would expect
流行	はやり	fashion, fad, vogue, craze
流行る	はや（る）	to be popular, to come into fashion
海人	あま	male diver, fisherman
海月	くらげ	jellyfish
海老	えび	shrimp
火傷	やけど	burn, scald
灰汁	あく	scum (formed when cooking some foods)
煙草	たばこ	tobacco
狩人	かりゅうど	hunter
玄孫	やしゃご	great-great grandchild
玩具	おもちゃ	human and animal toys
疾風	はやて	hurricane
百合	ゆり	lilium
相応しい	ふさわし（い）	appropriate
真似	まね	imitating, copying, mimicry
真似る	まね（る）	to mimic, to imitate
眼差し	まなざ（し）	(a) look, gaze
秋刀魚	さんま	pike (fish), Pacific saury
科白	せりふ	lines (words)
等閑	なおざり	neglect, negligence, disregard, make light of
経緯	いきさつ	details, particulars
美味い	うま（い）	skillful, clever, expert, wise, successful
美味しい	おいし（い）	delicious
自棄	やけ	despair, desperation, abandonment
薬缶	やかん	kettle
袋小路	ふくろこうじ	blind alley, cul-de-sac
裸足	はだし	barefoot
身体	からだ	body
道程	みちのり	distance, journey, itinerary
邪馬台国	やまたいこく、やまとこく	an ancient country in Wa (Japan) during the late Yayoi period, ruled by Queen Himiko
長閑	のどか	tranquil, calm, quiet, peaceful
陽炎	かげろう	shimmer of hot air
頭文字	かしらもじ	initials, initialism
