亜	⠠⠁⠃	⠃⠊
煙	⠸⠋⠫	⣱⡎
猿	⠠⠋⠱	⢗⠞
縁	⠸⠋⠭	⡅⢼
艶	⠸⠋⠃	⡣⢮
遠	⠸⠋⠎	⣇⠞
鉛	⠸⠋⠅	⢃⠞
塩	⠸⠋⠳	⡳⢌
汚	⠠⠊⠣	⢱⣼
凹	⠨⠊⠁	⠱⣬
央	⠨⠊⠑	⢗⠜
奥	⠨⠊⠩	⣥⡜
往	⠨⠊⠎	⣑⣞
応	⠨⠊⠪	⡱⢬
押	⠨⠊⠊	⢕⡾
旺	⠨⠊⠧	⣳⣖⠊
横	⠨⠊⠜	⢇⢜
欧	⠨⠊⠫	⣵⣨
殴	⠨⠊⠅	⣵⡜
王	⠨⠊⠉	⣗⠊
翁	⠨⠊⠥	⢕⣺
黄	⠨⠊⠣	⢧⢜
岡	⠸⠎⠊	⣥⣘
沖	⠠⠝⠊	⡇⠬
億	⠲⠊⠇	⢡⡊
屋	⠲⠊⠔	⡵⣘
憶	⠲⠊⠓	⠳⡊
臆	⠲⠊⠙	⠣⡊
乙	⠢⠊⠄	⢡⡨
俺	⠸⠋⠇	⢑⢬
卸	⠠⠱⠊	⣡⢪
恩	⠸⠊⠪	⢗⢬
温	⠸⠊⠁	⡇⢌
穏	⠸⠊⠊	⡕⠺
音	⠸⠊⠎	⣣⣌
下	⠰⠡⠳	⠱⣈
化	⠰⠡⠇	⢑⠸
仮	⠰⠡⠓	⡃⣨
何	⠰⠴⠅	⡃⢊
価	⠰⠡⠁	⡃⡎
佳	⠢⠴⠇	⢑⡺
加	⠰⠡⠩	⡓⠾
可	⠰⠡⠚	⠱⢊
夏	⠰⠡⠅	⠕⢺
嫁	⠰⠡⠜	⣓⠚
家	⠰⠡⠃	⠓
寡	⠰⠴⠉	⠓⡚
科	⠰⠡⠎	⡕⡼
暇	⠰⠴⠧	⣳⡜
果	⠰⠴⠥	⡣⢎
架	⠰⠡⠡	⠷⢎
歌	⠰⠡⠉	⢃⣨
河	⠰⠡⠄	⡇⢊
火	⠰⠡⠧	⣱
禍	⠰⠴⠳	⡗⢊
稼	⠰⠡⠻	⠥⡜
箇	⠰⠡⠕	⡧⠾
花	⠰⠡⠥	⢓⠸
苛	⠰⠴⠻	⢓⠰⢊
荷	⠰⠴⠇	⢓⡊
華	⠢⠴⠥	⢓⢊
菓	⠰⠴⠩	⢓⢎
課	⠢⠴⠅	⠗⡪
貨	⠰⠡⠛	⡡⠸
過	⠰⠡⠹	⣇⢊
蚊	⠸⠘⠡	⣳⣈
我	⠰⠂⠮	⣥⠊
牙	⠰⠂⠣	⠑⣾
画	⠰⠂⠕	⣓⡪
芽	⠰⠂⠿	⢓⣾
賀	⠰⠂⠛	⡓⡨
雅	⠰⠂⠅	⣷⠎
餓	⠰⠂⠍	⢷⣬
介	⠨⠡⠇	⢑⠬
会	⠨⠡⠁	⠧⠞
解	⠨⠡⠎	⣥⢼
回	⠨⠡⠵	⣥⠾
塊	⠨⠡⠡	⡳⡎
壊	⠨⠡⠄	⡳⠺
快	⠨⠡⠪	⠳⡾
怪	⠨⠡⠔	⠳⢞
悔	⠨⠡⠩	⠳⣊
懐	⠨⠡⠅	⠳⠺
戒	⠨⠡⠃	⡵⣬
拐	⠨⠡⠟	⡷⠤⡚
改	⠨⠡⠕	⠑⢸
械	⠨⠡⠣	⢇⡼
海	⠨⠡⠉	⡇⣊
灰	⠨⠡⠥	⡱⣸
界	⠨⠡⠛	⡣⠬
皆	⠨⠡⠷	⠱⣌
絵	⠨⠡⠋	⠇⠞
開	⠨⠡⠧	⣵⡼
階	⠨⠡⠍	⢣⣌
貝	⠨⠨⠛	⡡
劾	⠨⠂⠗	⡅⡚
外	⠨⠂⠺	⣕⡼
害	⠨⠂⠉	⠥⣞
崖	⠨⠂⠌	⡑⠒⡺
慨	⠨⠂⠓	⠳⢘
概	⠨⠂⠣	⢇⢘
涯	⠨⠂⠱	⢱⡺
蓋	⠨⠂⠩	⢵⠪
街	⠨⠂⠵	⣑⡺
該	⠨⠂⠅	⡥⡌
骸	⠨⠂⠮	⢃⡌
垣	⠸⠋⠡	⡳⣌
柿	⠢⠍⠣	⢥⢮
嚇	⠲⠡⠚	⠷⢊
各	⠲⠡⠊	⢳⠾
拡	⠲⠡⠋	⡷⢜
格	⠲⠡⠣	⢇⠾
核	⠲⠉⠣	⢇⡌
殻	⠲⠉⠡	⡳⡬
獲	⠲⠉⠋	⢗⢚
確	⠲⠡⠕	⣣⠎
穫	⠲⠡⠎	⡕⢚
覚	⠲⠉⠊	⣁⣾
角	⠲⠡⠝	⣥⢈
較	⠲⠡⠬	⣳⡮
郭	⠲⠡⠍	⢣⢜
閣	⠲⠡⠡	⣵⢺
隔	⠲⠡⠯	⢣⠾
革	⠲⠡⠄	⡵⠼
学	⠲⠂⠵	⣁
岳	⠲⠂⠕	⢓⡘
楽	⠲⠑⠕	⣳⡌
額	⠲⠂⠧	⠷⠜
顎	⠲⠂⠑	⠕⠾
掛	⠰⠴⠡	⡷⡺
潟	⠲⠻⠡	⢱⣸
割	⠢⠡⠄	⠥⡚
喝	⠢⠡⠚	⠷⠤⢸
括	⠢⠡⠋	⠷⡾
活	⠢⠡⠱	⡇⢾
渇	⠢⠡⠡	⢱⢸
滑	⠢⠡⠅	⢱⠪
葛	⠢⠡⠩	⢥⠤⢸
褐	⠢⠡⠺	⡗⢸
轄	⠢⠡⠬	⣳⣞
且	⠰⠸⠄	⠡⢼
株	⠠⠹⠡	⢇⢊
釜	⠨⠽⠡	⢃⡮
鎌	⠖⠸⠛⠡	⢃⣪
刈	⠨⠂⠡	⣷⡚
瓦	⠰⠂⠭	⢁⢊
乾	⠸⠡⠄	⠵⡨
冠	⠸⠡⠽	⠥⢮
寒	⠠⠡⠱	⠓⢸
刊	⠸⠡⠓	⢃⡚
勘	⠸⠡⠗	⣵⡚
勧	⠸⠡⠹	⢗⡞
巻	⠸⠡⠵	⢗⢪
喚	⠸⠡⠚	⠷⢌
堪	⠠⠡⠕	⡳⢎
完	⠸⠡⠉	⠓⠬
官	⠠⠡⠉	⠓⠪
寛	⠸⠴⠉	⠥⣾
干	⠸⠡⠮	⠑⢊
幹	⠸⠡⠷	⠵⢊
患	⠠⠡⠄	⠷⢬
感	⠸⠡⠪	⣇⢬
慣	⠸⠡⠅	⠳⡺
憾	⠠⠡⠓	⠳⣎
換	⠸⠡⠡	⡷⢌
敢	⠸⠡⠎	⣧⢸
棺	⠠⠡⠣	⢇⠪
款	⠠⠡⠫	⣡⡞
歓	⠸⠡⠫	⢗⣨
汗	⠠⠡⠻	⢱⢊
漢	⠸⠡⠱	⢱⢚
環	⠸⠡⠊	⣗⠺
甘	⠸⠴⠁	⠑⠺
監	⠸⠡⠑	⢳⢌
看	⠠⠡⠅	⣷⢊
管	⠸⠡⠩	⡧⠪
簡	⠸⠡⠕	⡧⣌
緩	⠸⠡⠬	⠇⢘
缶	⠠⠡⠮	⠑⣨
肝	⠸⠡⠣	⢅⢊
艦	⠸⠡⠭	⣓⢌
観	⠸⠡⠇	⢗⣾
貫	⠸⠡⠝	⠱⡺
還	⠸⠡⠥	⣇⠺
鑑	⠸⠴⠡	⢃⢌
間	⠸⠡⠁	⣵⣌
閑	⠠⠡⠡	⣵⢎
関	⠸⠡⠻	⣵⢞
陥	⠠⠡⠊	⢣⡚
韓	⠸⠴⠅	⠵⠤⠎
館	⠸⠡⠍	⢷⠪
丸	⠸⠂⠵	⠃⠜
含	⠸⠂⠭	⠧⠾
岸	⠸⠂⠣	⡑⢊
玩	⠸⠂⠊	⣗⠬
眼	⠸⠂⠅	⣷⡘
岩	⠸⠂⠃	⣣⡘
頑	⠸⠂⠑	⠥⠜
顔	⠸⠂⠡	⠕⠚
願	⠸⠂⠏	⡱⠜
企	⠰⠣⠩	⢑⣨
伎	⠲⠣⠇	⡃⠤⣊
危	⠰⠣⠁	⢓⢪
喜	⠰⠣⠜	⡳⣬
器	⠰⠣⠉	⢗⠾
基	⠰⠣⠾	⢇⡺
奇	⠰⠣⠑	⢗⢊
寄	⠲⠣⠜	⠓⢊
岐	⠰⠣⠔	⡑⣊
希	⠲⠣⠥	⣷⢮
幾	⠲⠣⠃	⡅⣬
忌	⠲⠣⠪	⢇⠺
揮	⠰⠣⠋	⡷⣺
机	⠰⠣⠝	⢇⣈
旗	⠰⠣⠥	⣕⢎
既	⠰⠣⠹	⡑⢘
期	⠰⠣⠙	⠣⢎
棋	⠲⠣⠣	⢇⠤⢎
棄	⠲⠣⠾	⣁⡸
機	⠰⠣⠣	⢇⣬
帰	⠰⠣⠡	⣡⠮
気	⠰⠣⠄	⣵⠊
汽	⠲⠣⠱	⡇⣼
畿	⠰⠣⠕	⣥⡌
祈	⠰⠣⠎	⡗⡨
季	⠰⠣⠪	⡕⢜
紀	⠰⠣⠃	⠇⢎
規	⠰⠣⠇	⢗⠬
記	⠰⠣⠳	⠗⢎
貴	⠰⠣⠎	⡡⢎
起	⠰⠣⠊	⣃⢎
軌	⠰⠣⠬	⣳⠜
輝	⠲⠣⠡	⣁⣺
飢	⠲⠣⠉	⢷⣈
騎	⠰⠣⠵	⢵⢊
鬼	⠲⠣⠊	⠕⡎
亀	⠰⠣⠿	⠱⣾
偽	⠢⠆⠃	⢑⣸
儀	⠢⠆⠇	⢵⡊
宜	⠲⠆⠉	⠓⢼
戯	⠢⠆⠕	⢳⣬
技	⠢⠆⠋	⡷⣊
擬	⠲⠆⠋	⡷⡘
欺	⠢⠆⠁	⣡⢎
犠	⠲⠆⠁	⢵⢼
疑	⠢⠆⠉	⡑⡸
義	⠢⠆⠧	⢵⣬
議	⠢⠆⠅	⠗⣬
菊	⠲⠷⠩	⢥⠌
吉	⠢⠣⠗	⡳⠾
喫	⠢⠣⠚	⣥⡚
詰	⠢⠣⠝	⡥⠾
却	⠠⠣⠍	⡳⢪
客	⠠⠣⠉	⠥⠾
脚	⠠⠣⠁	⢅⢪
虐	⠠⠰⠳	⢳⢊
逆	⠠⠰⠱	⣇⣊
丘	⠲⠩⠊	⢓⠘
久	⠠⠩⠧	⢳⠘
休	⠠⠩⠔	⡃⢎
及	⠠⠩⠊	⠑⡌
吸	⠠⠩⠹	⠷⡌
宮	⠠⠩⠷	⠓⣮
弓	⠠⠩⠬	⣑⠊
急	⠠⠩⠃	⢓⠚
救	⠲⠩⠹	⠵⢸
朽	⠠⠩⠩	⢇⣼
求	⠠⠩⠾	⠵⡎
泣	⠠⠩⠅	⡇⣪
球	⠠⠩⠕	⣗⡎
究	⠠⠩⠣	⠓⠜
窮	⠲⠩⠣	⠥⣮
級	⠲⠩⠃	⠇⡌
糾	⠲⠩⠎	⠇⢪
給	⠠⠩⠎	⠇⣬
旧	⠲⠩⠧	⣳⠘
牛	⠠⠒⠉	⢵⠊
去	⠠⠪⠱	⡳⢜
居	⠠⠪⠃	⡵⠊
巨	⠠⠪⠥	⠃⢺
拒	⠠⠪⠪	⢳⡾
拠	⠠⠪⠋	⢳⢼
挙	⠠⠪⠁	⠓⡾
虚	⠠⠪⠎	⢳⣸
許	⠠⠪⠬	⠗⢼
距	⠠⠪⠄	⣧⢺
漁	⠠⠔⠹	⢷⢸
魚	⠠⠔⠱	⢷⠌
享	⠢⠜⠅	⣁⢜
京	⠨⠣⠅	⣁⠾
供	⠨⠣⠇	⡃⢜
競	⠨⠣⠣	⣣⠬
共	⠨⠣⠎	⠑⢜
凶	⠨⠣⠁	⣵⢈
協	⠨⠣⠚	⠵⡚
叫	⠢⠜⠱	⠷⢪
境	⠨⠣⠱	⡳⡊
峡	⠨⠣⠔	⡑⡊
強	⠨⠣⠝	⣑⣺
恐	⠨⠣⠺	⣁⢬
恭	⠨⠣⠉	⢕⠺
挟	⠢⠜⠥	⡷⠤⡊
教	⠨⠣⠊	⡵⢸
橋	⠨⠣⠥	⢇⡜
況	⠨⠣⠹	⢱⠬
狂	⠨⠣⠩	⢗⣞
狭	⠨⠣⠻	⢗⡊
矯	⠨⠣⠕	⡑⠤⡜
胸	⠨⠣⠽	⢅⣼
脅	⠢⠜⠊	⡓⠪
興	⠠⠎⠊	⣥⠮
郷	⠨⠣⠍	⡅⡘
鏡	⠨⠣⠡	⢃⡊
響	⠨⠣⠧	⡅⣪
驚	⠢⠜⠚	⣵⢼
仰	⠨⠆⠊	⡃⢪
凝	⠨⠆⠪	⢱⡘
暁	⠨⠆⠁	⣳⡺
業	⠨⠆⠄	⢵⢎
局	⠠⠫⠏	⡵⣼
曲	⠠⠫⠵	⡣⠨
極	⠠⠫⠣	⢇⣪
玉	⠠⠲⠕	⣗
僅		⢑⢎
勤	⠸⠣⠝	⡓⢎
均	⠸⠣⠁	⡳⣼
巾		⢧⡈
錦		⢃⠤⣾
斤	⠸⠣⠊	⠱⡨
琴	⠸⠣⠪	⣗⣞
禁	⠸⠣⠳	⢇⡞
筋	⠸⠣⠹	⡧⢌
緊	⠸⠣⠃	⡅⢺
菌	⠸⠣⠩	⢓⣬
襟	⠸⠣⠋	⡗⢆⡞
謹	⠸⠣⠅	⡥⢎
近	⠸⠣⠗	⣇⡨
金	⠸⠣⠡	⢃
吟	⠸⠆⠚	⠷⠮
銀	⠸⠆⠡	⢃⡘
九	⠐⠼⠊	⢡⠜
句	⠰⠩⠚	⣵⠨
区	⠰⠩⠥	⣵⡈
苦	⠰⠩⠩	⢓⠼
駆	⠰⠩⠡	⢵⣼
駒		⢵⠨
具	⠰⠒⠥	⡡⠨
愚	⠰⠒⠊	⢓⢬
虞	⠰⠒⠎	⢳⢜
空	⠨⠩⠺	⠓⢎
偶	⠨⠒⠇	⡃⢚
遇	⠨⠒⠥	⣇⢚
隅	⠨⠒⠹	⢣⢚
串		⠷⠤⣬
屈	⠢⠩⠏	⡵⣞
掘	⠢⠩⠮	⡷⡼
窟		⠓⡵⣞
靴	⠢⠴⠩	⡵⢐⠸
熊		⠣⣸
繰	⠨⠉⠩	⠇⠚
桑	⠨⠉⠄	⢥⡬
勲	⠸⠩⠄	⡓⣸
君	⠸⠩⠣	⠕⠊
薫	⠸⠩⠡	⢓⣸
訓	⠸⠩⠅	⡥⢊
群	⠸⠒⠽	⠕⢼
軍	⠸⠒⠬	⠥⣺
郡	⠸⠒⠍	⠕⢪
係	⠨⠫⠡	⡃⡌
傾	⠨⠫⠽	⡃⠜
刑	⠨⠫⠓	⡗⡞
兄	⠨⠫⠁	⠷⠬
啓	⠨⠫⠚	⡵⠾
型	⠰⠫⠕	⡓⡺
契	⠨⠫⠗	⡓⢞
形	⠨⠫⠕	⡗⠚
径	⠨⠫⠎	⣑⢞
恵	⠨⠫⠿	⣳⢬
慶	⠨⠫⠪	⢵⢬
憩	⠰⠫⠪	⢷⢬
掲	⠨⠫⠋	⡷⢸
携	⠨⠫⠱	⡅⡾
敬	⠨⠫⠉	⣵⢸
景	⠨⠫⠧	⣳⠾
渓	⠰⠫⠱	⡅⡎
稽		⡕⢘
系	⠰⠫⠃	⡅
経	⠨⠫⠃	⠇⢞
継	⠨⠫⠝	⠇⡜
茎	⠨⠫⠩	⢓⢞
蛍	⠨⠫⠮	⣱⠬
計	⠨⠫⠥	⠗⠼
詣		⡥⡎
警	⠨⠫⠅	⣵⡬
軽	⠰⠫⠡	⣳⢞
鶏	⠨⠫⠇	⡅⢾
芸	⠨⠲⠩	⢓⠞
迎	⠨⠲⠽	⣇⢪
鯨	⠨⠲⠑	⢷⠾
劇	⠲⠲⠓	⢵⡞
撃	⠲⠲⠉	⣳⡜
激	⠲⠲⠥	⡇⢸
隙		⢣⠰⢼
桁		⣑⢎
傑	⠢⠫⠇	⢑⢞
欠	⠢⠫⠡	⣡⠊
決	⠢⠫⠣	⡇⡾
潔	⠢⠫⠱	⢱⡌
穴	⠢⠫⠁	⠓⠮
結	⠢⠫⠽	⡅⠾
血	⠢⠫⠗	⠃⢌
月	⠢⠲⠝	⠣
件	⠸⠫⠇	⡃⢼
倹	⠲⠫⠇	⢑⠮
健	⠸⠫⠹	⡃⣚
兼	⠸⠫⠡	⠧⢞
券	⠸⠫⠓	⢗⡚
剣	⠲⠫⠝	⠑⡞
圏	⠸⠫⠋	⣥⢪
堅	⠸⠫⠗	⡳⢺
嫌	⠸⠫⠊	⢗⣚
建	⠸⠫⠕	⣃⣚
憲	⠸⠫⠪	⠓⢬
懸	⠲⠫⠡	⣷⠺
拳		⢗⡾
検	⠸⠫⠣	⢇⠮
権	⠲⠫⠣	⢇⢞
犬	⠸⠫⠃	⢗
献	⠲⠫⠃	⣧⢞
研	⠸⠫⠎	⣣⡞
絹	⠸⠫⠍	⠇⠪
県	⠸⠫⠅	⣷⡌
肩	⠲⠫⠕	⡵⢌
見	⠸⠫⠷	⣷⠬
謙	⠲⠫⠅	⡥⢞
賢	⠲⠫⠪	⡡⢺
軒	⠸⠫⠎	⣳⢊
遣	⠸⠫⠝	⣃⠪
鍵		⢃⣊
険	⠸⠫⠄	⢣⠮
顕	⠸⠫⠑	⠕⡌
験	⠸⠫⠉	⢵⠮
元	⠸⠲⠾	⠃⠬
原	⠸⠲⠥	⡱⠊
厳	⠸⠲⠣	⡱⢸
幻	⠸⠲⠵	⡅⠘
弦	⠸⠲⠝	⣑⣈
減	⠸⠲⠯	⣇⡎
源	⠸⠲⠷	⢱⡸
玄	⠸⠲⠄	⣁⡌
現	⠸⠲⠁	⣗⣾
舷		⣓⣁⡌
言	⠸⠲⠃	⠗
限	⠸⠲⠡	⢣⡘
個	⠰⠪⠇	⡃⣬
古	⠰⠪⠭	⠷⠼
呼	⠰⠪⠜	⠷⡘
固	⠰⠪⠕	⣥⠼
孤	⠰⠪⠪	⢕⢜
己	⠰⠪⠊	⢡⢎
庫	⠰⠪⠏	⡱⣺
弧	⠰⠪⠧	⣑⢜
戸	⠰⠪⠎	⡵
故	⠰⠪⠬	⠷⢸
枯	⠰⠪⠡	⢇⠼
湖	⠰⠪⠷	⡇⠪
股		⢅⡜
虎		⢳⡈
誇	⠰⠪⠮	⠗⢞
雇	⠰⠪⠔	⡵⠎
顧	⠰⠪⠓	⡵⠜
鼓	⠰⠪⠝	⡵⣊
五	⠐⠼⠑	⢡⠪
互	⠰⠔⠕	⠱⢌
午	⠰⠔⠚	⢵⠘
呉	⠰⠔⠩	⠡⢜
娯	⠰⠔⠊	⣓⢜
後	⠰⠔⠎	⣑⡌
御	⠠⠔⠊	⣑⢪
悟	⠰⠔⠱	⠳⠾
碁	⠰⠔⠃	⢇⠤⣪
語	⠰⠔⠡	⡥
誤	⠰⠔⠁	⠗⢜
護	⠰⠔⠅	⠗⢚
乞		⣁⠜
交	⠨⠪⠵	⣁⡮
侯	⠠⠎⠇	⢑⡘
候	⠨⠪⠇	⡃⡘
光	⠨⠪⠧	⣁⠌
公	⠨⠪⠊	⢁⢜
功	⠨⠪⠗	⢕⡚
効	⠠⠎⠣	⡧⡚
勾		⣵⣺
厚	⠨⠪⠁	⡱⣌
口	⠨⠪⠩	⠷
向	⠨⠪⠽	⣥⢜
后	⠨⠪⠚	⡱⠾
喉		⠷⢜
坑	⠠⠎⠗	⡳⠬
好	⠨⠪⠪	⢕⣚
孔	⠢⠎⠪	⢕⡨
孝	⠠⠎⠪	⡵⢜
工	⠨⠪⠄	⢕⠊
巧	⠠⠎⠕	⢕⣼
幸	⠨⠪⠱	⡳⢊
広	⠠⠎⠧	⡱⢜
康	⠨⠪⠏	⡱⣘
恒	⠨⠪⠓	⠳⣌
慌	⠢⠎⠁	⠳⢚
抗	⠠⠎⠋	⡷⠬
拘	⠢⠎⠋	⡷⠨
控	⠢⠎⠧	⡷⢎
攻	⠨⠪⠻	⢕⢸
更	⠠⠎⠱	⣳⡊
校	⠨⠪⠣	⢇⡮
梗		⢥⡊
構	⠠⠎⠡	⢇⣺
江	⠨⠪⠋	⢱⢜
洪	⠢⠎⠱	⡇⠐⢜
港	⠨⠪⠷	⡇⢪
溝	⠢⠎⠷	⡇⣺
甲	⠸⠎⠕	⢡⢜
皇	⠨⠪⠳	⣳⣞
硬	⠸⠎⠡	⣣⡊
稿	⠨⠪⠎	⡕⠞
紅	⠠⠎⠩	⡅⢜
絞	⠠⠎⠳	⠇⡮
綱	⠨⠪⠝	⠇⣘
耕	⠢⠎⠕	⢕⠎
考	⠨⠪⠡	⡵⠨
肯	⠨⠪⠙	⣡⠪
航	⠨⠪⠭	⣓⠬
荒	⠠⠎⠁	⢓⢚
行	⠨⠪⠃	⣑
衡	⠠⠎⠎	⣑⢾
講	⠨⠪⠅	⡥⣺
貢	⠠⠎⠷	⡡⢜
購	⠨⠪⠛	⡡⣺
郊	⠨⠪⠍	⢣⡮
酵	⠨⠪⠎	⢷⢜
鉱	⠠⠎⠏	⢃⢜
鋼	⠨⠪⠥	⢃⣘
降	⠢⠎⠊	⢣⠎
項	⠨⠪⠑	⢕⠜
香	⠢⠎⠡	⡕⣌
高	⠨⠪⠕	⠱⠞
剛	⠨⠔⠓	⣥⡞
号	⠨⠔⠚	⠷⢺
合	⠨⠔⠁	⠧⣬
拷	⠨⠔⠋	⡵⡾
豪	⠨⠔⠃	⣁⢼
克	⠲⠪⠧	⠵⠬
刻	⠲⠪⠣	⡅⡞
告	⠲⠪⠝	⢕⢚
国	⠲⠪⠇	⣥⣞
穀	⠲⠪⠎	⡳⡜
酷	⠲⠪⠎	⢷⢚
黒	⠲⠪⠩	⢧⢚
獄	⠲⠔⠫	⢗⡬
腰	⠨⠜⠪	⢅⣚
骨	⠢⠪⠮	⢃⠪
込	⠠⠍⠪	⣇⡊
頃		⣳⡨
今	⠸⠪⠃	⠧⠊
困	⠸⠪⠪	⣥⢎
墾	⠸⠪⠗	⡑⡮
婚	⠸⠪⠊	⣡⣚
恨	⠸⠪⠉	⠳⡘
懇	⠸⠪⠚	⡑⢬
昆	⠸⠪⠧	⣳⠸
根	⠸⠪⠏	⢇⡘
混	⠸⠪⠵	⡇⠸
痕		⡑⠤⡘
紺	⠸⠪⠎	⡅⠺
魂	⠸⠪⠕	⠗⡎
佐	⠰⠱⠇	⢑⡌
唆	⠰⠱⠚	⠷⡜
左	⠰⠱⠧	⠱⡌
差	⠰⠱⠱	⢵⢜
査	⠰⠱⠣	⢇⣌
沙		⢱⣜
砂	⠰⠱⠹	⣣⢼
詐	⠰⠱⠅	⠗⢪
鎖	⠰⠱⠩	⢃⡨
座	⠰⠢⠹	⡱⡊
挫		⡷⡺⢘
債	⠨⠱⠇	⡃⡨
催	⠨⠱⠊	⢑⠎
再	⠨⠱⠭	⠵⣬
最	⠨⠱⠾	⣳⡬
塞		⠓⡺
妻	⠨⠱⠝	⣓⢪
宰	⠨⠱⠉	⠓⣪
彩	⠨⠱⠃	⡧⠚
才	⠨⠱⠋	⠵⠘
採	⠨⠱⠎	⡷⡮
栽	⠨⠱⠣	⣧⢎
歳	⠨⠱⠗	⣡⣎
済	⠨⠱⠹	⢱⢪
災	⠨⠱⠄	⢃⣸
采		⢁⡮
砕	⠨⠱⠩	⣣⠜
祭	⠨⠱⠵	⡗⢪
斎	⠨⠱⠔	⣁⢪
細	⠨⠱⠮	⠇⡪
菜	⠨⠱⠅	⢓⡮
裁	⠨⠱⠱	⣧⡞
載	⠨⠱⠎	⣧⣺
際	⠨⠱⠍	⢣⢪
剤	⠨⠢⠓	⢣⡞
在	⠨⠢⠁	⠵⡺
材	⠨⠢⠣	⠵⢎
罪	⠨⠢⠝	⢳⠌
財	⠨⠢⠛	⡡⠼
坂	⠸⠥⠱	⡳⣨
阪		⢣⣨
咲	⠨⠍⠱	⠷⢞
崎	⠰⠣⠱	⡑⢞
埼		⡳⢞
作	⠲⠱⠝	⢑⢪
削	⠲⠱⠫	⢅⡚
搾	⠲⠱⠳	⠥⢪
昨	⠲⠱⠧	⣳⢪
柵		⢇⠤⣞
策	⠲⠱⠕	⡧⢨
索	⠲⠱⠃	⠵⡌
錯	⠲⠱⠡	⢃⡞
桜	⠨⠊⠱	⢥⠊
冊	⠢⠱⠄	⠑⣞
刷	⠢⠱⠹	⢧⡚
察	⠢⠱⠉	⠓⢪
